cruise,cast,niskin,date,latitude,longitude,depth,sample_id,replicate,nitrate_nitrite,ammonium,phosphate,silicate,alternate_sample_id,project_id,nearest_station,station_distance
EN617,5,10,2018-07-21 06:57:26+00:00,40.8647,-70.88704,14.252,596,b,0.0,0.0,0.20069468014110026,2.4716019905213265,,LTER,L3,0.35155769898356587
EN617,5,12,2018-07-21 07:00:13+00:00,40.86487,-70.88765,10.082,597,a,0.0,0.0,0.16802345314138625,2.1877717535545025,,LTER,L3,0.40607323696556263
EN617,5,12,2018-07-21 07:00:13+00:00,40.86487,-70.88765,10.082,598,b,0.0,0.0,0.15765163504623894,2.17741298578199,,LTER,L3,0.40607323696556263
EN617,5,16,2018-07-21 07:03:24+00:00,40.865,-70.88841,1.636,599,a,0.0,0.0,0.07363990847554581,1.6330597393364927,,LTER,L3,0.4703614127815757
EN617,5,16,2018-07-21 07:03:24+00:00,40.865,-70.88841,1.636,600,b,0.0,0.0,0.09023481742778147,1.6242547867298578,,LTER,L3,0.4703614127815757
EN617,8,2,2018-07-21 14:57:28+00:00,40.6996,-70.8799,59.722,601,a,6.6070306652080815,0.0,0.7208413576127372,9.70720127962085,,LTER,L4,0.4316080976352475
EN617,8,2,2018-07-21 14:57:28+00:00,40.6996,-70.8799,59.722,602,b,6.598098221767062,0.0,0.7239529030412813,9.704093649289101,,LTER,L4,0.4316080976352475
EN617,8,4,2018-07-21 15:02:02+00:00,40.70028,-70.87915,44.211999999999996,603,a,3.0146996613443813,0.0,0.5274069501382401,4.62518981042654,,LTER,L4,0.5301616341073079
EN617,8,4,2018-07-21 15:02:02+00:00,40.70028,-70.87915,44.211999999999996,604,b,3.0211508704962298,0.0,0.5258511774239679,4.616902796208532,,LTER,L4,0.5301616341073079
EN617,8,7,2018-07-21 15:04:49+00:00,40.70066,-70.87850999999999,24.660999999999998,605,a,0.6808506889488876,0.0,0.464657450662599,5.153486966824644,,LTER,L4,0.5977237300793996
EN617,8,7,2018-07-21 15:04:49+00:00,40.70066,-70.87850999999999,24.660999999999998,606,b,0.6739032329392051,0.0,0.4625830870435696,5.145199952606634,,LTER,L4,0.5977237300793996
EN617,8,10,2018-07-21 15:08:08+00:00,40.70112,-70.87778,18.730999999999998,607,a,0.0,0.0,0.2769275431404329,3.1459577725118484,,LTER,L4,0.6771778526357987
EN617,8,10,2018-07-21 15:08:08+00:00,40.70112,-70.87778,18.730999999999998,608,b,0.0,0.0,0.2758903613309181,3.1190249763033173,,LTER,L4,0.6771778526357987
EN617,8,13,2018-07-21 15:10:36+00:00,40.70146,-70.87723000000001,12.475999999999999,609,a,0.0,0.0,0.17943245304604824,2.0883275829383887,,LTER,L4,0.736608358826376
EN617,8,13,2018-07-21 15:10:36+00:00,40.70146,-70.87723000000001,12.475999999999999,610,b,0.0,0.0,0.16180036228429784,2.135977914691943,,LTER,L4,0.736608358826376
EN617,8,16,2018-07-21 15:13:12+00:00,40.7019,-70.87668000000001,2.269,611,a,0.0,0.0,0.11408999904662027,2.076932938388625,,LTER,L4,0.8040442977768079
EN617,8,16,2018-07-21 15:13:12+00:00,40.7019,-70.87668000000001,2.269,612,b,0.0,0.0,0.09334636285632568,2.075897061611374,,LTER,L4,0.8040442977768079
EN617,9,1,2018-07-21 17:28:46+00:00,40.51833,-70.88108000000001,72.122,613,a,7.184165760869565,0.0,0.7426221756125465,10.180596966824645,,LTER,L5,0.5893890719772265
EN617,9,1,2018-07-21 17:28:46+00:00,40.51833,-70.88108000000001,72.122,614,b,7.19557943859976,0.0,0.7467709028506054,10.247928957345971,,LTER,L5,0.5893890719772265
EN617,9,3,2018-07-21 17:31:42+00:00,40.51916,-70.88112,46.613,615,a,6.457164114142072,0.0,0.7073579940890458,8.696185545023695,,LTER,L5,0.6764394339402341
EN617,9,3,2018-07-21 17:31:42+00:00,40.51916,-70.88112,46.613,616,b,6.474036507308444,0.0,0.7083951758985605,8.684790900473931,,LTER,L5,0.6764394339402341
EN617,9,5,2018-07-21 17:33:28+00:00,40.51965,-70.88118,35.5,617,a,1.6356296434223998,0.0,0.4127983601868625,3.735889597156398,,LTER,L5,0.7276617691253078
EN617,9,5,2018-07-21 17:33:28+00:00,40.51965,-70.88118,35.5,618,b,1.6366221371380691,0.0,0.4003521784726857,3.7270846445497625,,LTER,L5,0.7276617691253078
EN617,9,7,2018-07-21 17:35:45+00:00,40.5203,-70.88122,20.184,619,a,0.0,0.0,0.191878634760225,2.0883275829383887,,LTER,L5,0.7970484267177638
EN617,9,7,2018-07-21 17:35:45+00:00,40.5203,-70.88122,20.184,620,b,0.0,0.0,0.16646768042711413,2.0914352132701417,,LTER,L5,0.7970484267177638
EN617,9,9,2018-07-21 17:37:33+00:00,40.52082,-70.88122,14.776,621,a,0.0,0.0,0.10579254457050244,1.90601327014218,,LTER,L5,0.8534572252981462
EN617,9,9,2018-07-21 17:37:33+00:00,40.52082,-70.88122,14.776,622,b,0.0,0.0,0.10268099914195826,1.884259857819905,,LTER,L5,0.8534572252981462
EN617,9,11,2018-07-21 17:39:41+00:00,40.52142,-70.88128,4.436,623,a,0.0,0.0,0.06845399942797217,1.8241790047393365,,LTER,L5,0.9177883567220024
EN617,9,11,2018-07-21 17:39:41+00:00,40.52142,-70.88128,4.436,624,b,0.0,0.0,0.06015654495185434,1.863024383886256,,LTER,L5,0.9177883567220024
EN617,12,1,2018-07-22 02:14:34+00:00,40.36728,-70.88918000000001,88.93700000000001,625,a,7.496305034447444,0.0,0.6897259033272953,8.688934407582938,,LTER,L6,0.6668931599547167
EN617,12,1,2018-07-22 02:14:34+00:00,40.36728,-70.88918000000001,88.93700000000001,626,b,7.560817125965926,0.0,0.7000977214224426,8.691006161137441,,LTER,L6,0.6668931599547167
EN617,12,3,2018-07-22 02:16:03+00:00,40.36758,-70.88932,74.65100000000001,627,a,7.312693697048693,0.0,0.7669959481361427,10.080634857819906,,LTER,L6,0.6980821855790947
EN617,12,3,2018-07-22 02:16:03+00:00,40.36758,-70.88932,74.65100000000001,628,b,7.326588609068057,0.0,0.7747748117075032,10.059399383886257,,LTER,L6,0.6980821855790947
EN617,12,5,2018-07-22 02:18:05+00:00,40.36806,-70.88951,50.324,629,a,6.498848850200168,0.0,0.7229157212317666,8.650606966824645,,LTER,L6,0.7467154927471465
EN617,12,5,2018-07-22 02:18:05+00:00,40.36806,-70.88951,50.324,630,b,6.4879314193278095,0.0,0.7353619029459434,8.65475047393365,,LTER,L6,0.7467154927471465
EN617,12,7,2018-07-22 02:20:06+00:00,40.368359999999996,-70.88934,40.455,631,a,5.592818515745636,0.16355774431571565,0.6679776046283769,6.991019437259974,,LTER,L6,0.7608443828073038
EN617,12,7,2018-07-22 02:20:06+00:00,40.368359999999996,-70.88934,40.455,632,b,5.558898460530625,0.1383173516744015,0.6852353846871647,6.937057880711656,,LTER,L6,0.7608443828073038
EN617,12,10,2018-07-22 02:22:04+00:00,40.3687,-70.88926,28.669,633,a,1.124350065509335,0.0,0.41621704847664814,3.63241218616924,,LTER,L6,0.7847347280314516
EN617,12,10,2018-07-22 02:22:04+00:00,40.3687,-70.88926,28.669,634,b,1.1048959161948435,0.0,0.4080957402136892,3.6349104063798094,,LTER,L6,0.7847347280314516
EN617,12,14,2018-07-22 02:24:14+00:00,40.3691,-70.88928,20.206,635,a,0.5866174254831313,0.0,0.3685043624317641,3.3086428468793265,,LTER,L6,0.8202251965537869
EN617,12,14,2018-07-22 02:24:14+00:00,40.3691,-70.88928,20.206,636,b,0.5766409386551871,0.0,0.369519525964634,3.3026471183739585,,LTER,L6,0.8202251965537869
EN617,12,16,2018-07-22 02:25:50+00:00,40.36936,-70.88922,14.386,637,a,0.05287538018810538,0.0,0.1573503475948304,1.7297676737988872,,LTER,L6,0.8400232831711695
EN617,12,16,2018-07-22 02:25:50+00:00,40.36936,-70.88922,14.386,638,b,0.06534598872303589,0.0,0.16496407409135447,1.7962203314000575,,LTER,L6,0.8400232831711695
EN617,12,20,2018-07-22 02:27:54+00:00,40.369659999999996,-70.88926,4.752,639,a,0.054870677553694264,0.0,0.1390774040031727,1.571880156490843,,LTER,L6,0.8689123485832115
EN617,12,20,2018-07-22 02:27:54+00:00,40.369659999999996,-70.88926,4.752,640,b,0.06384951569884423,0.0,0.14212289460178232,1.5219157522794369,,LTER,L6,0.8689123485832115
EN617,13,2,2018-07-22 05:09:11+00:00,40.23676,-70.89156,123.384,641,a,10.30670854194937,0.0,0.7644181402510148,7.298300523160123,,LTER,L7,1.319835258958492
EN617,13,2,2018-07-22 05:09:11+00:00,40.23676,-70.89156,123.384,642,b,10.302717947218193,0.0,0.7522361778565764,7.288807286359955,,LTER,L7,1.319835258958492
